Rugiada all'alba,Quando il cuore si sveglia ,Steli di rose
Gocce di pioggia ,Dove l'anima piange,Cala il silenzio
Calda Estate,La mela Dolce ,L'altissima Montagna
Un vecchio pruno,il vento soffia su noi,"addio, Estate"
Nella liguria,limoni di Montale,profumano il cor
La pioggia fredda,odore nostalgico,della campagna 
Sabbia bagnata,suono del mare calmo,occhio socchiuso
Notte d’autunno,Rumore delle foglie,Alba che sveglia 
Vento glaciale,Le onde burrascose,Sabbia sottile
Altalenanti,sono i miei pensieri,mi perdo dentro
Foglie secche,cadono in autunno,come lacrime
Dolce riposo,Il sole negli occhi,Ecco rivivo
"Cupo Inverno,",annebbia i pensieri.,Fiocco di neve
Con il silenzio,"si placano gli animi:","canto marino
"Affaticato,",cerco rifugio fredde,notti d'inverno
Cade la neve,sul ramo dell'albero:,fuori si gela
Sorge il sole,l'uccellino cinguetta ,s'alza la gente
Le margherite,"sbocciano nel cespuglio,",per appassire
Le foglie brune,"cadono lente, morte,",per rinascere
rumore d'acqua,dal temporale viene,e io mi bagnai
notte di luna,dietro il velo di nubi ,cantan le rane
Fiume di stelle,Attraversa il buio,Accecandoci
Il fumo sparso,sopra la città rossa,cenere sarà
la rosa rossa,spinosa punge forte,pene profonde
il tempo scorre,il vento fugge svelto,nel cielo chiaro
Fiori di ciliegio,vita è breve,ci insegnano che la
Vacanze estive,dice: “si parte!”.,dalla macchina il papà
rumori confusi,disturbano il sonno,piacevolmente
notte infinita,i bambini giocano,sono felici
La pioggia cade ,Ininterrottamente ,Sul paesino
fiumi di stelle,"agitati, spendono",nell'universo
Cade leggera,la foglia autunnale,vasto silenzio
spente le luci,bagliori di stelle,illuminano
Fragole sono,"rosse come il fuoco,",come uomini
il gelsomino,"alla vista inganna,",odor incanta.
Raggi di sole,Colorano il cielo,Tramonto rosso
Le onde bianche,abbracciano la riva,Il mare canta
Il mare mosso,con le sue forti onde:,giù nel profondo
Il cielo scuro,rattrista gli animi.,Arcobaleno.
scende la neve,discende dal cielo blu,imbianca l'erba 
l'albero spoglio,lo sorvola l'uccello,battito d'ali
una vecchia casa,nulla si muove qui,sbatte una porta
un vecchio banco,la scuola deserta,nessuno dentro
Amata estate,Il vento soffia forte,Il cor mio batte
Grigio inverno,Pioggia incombe su di noi,Nuvole scure
Natura nostra,Primavera fiorente,Mio verde prato
Terra bagnata,Animali felici,Rane cantano
Tra fiori freschi,Api lavoratrici,Alberi curvi
Squali regano,Leoni dominano,Pesci nuotano
La rosa rossa,arriva dolcemente,nel prato verde
Sorriso d'oro,risplende l'umore,a piante tristi
Nel buio pesto,una luce improvvisa,lumeggia tutto
Stagione fredda,la foglia scura cade ,il cielo grigio
Stella morente,dal cielo scuro cade,la coda bianca
Cala la notte,l'acqua calda bagnata,la fredda sabbia 